"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-09-01T16:12:32.353Z[Etc/UTC]","0.0","1.46"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-09-01T16:12:35.705Z[Etc/UTC]","0.0","1.06"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-09-01T16:12:39.617Z[Etc/UTC]","0.0","2.97"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-09-01T16:12:45.145Z[Etc/UTC]","0.0","1.23"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-09-01T16:12:47.345Z[Etc/UTC]","0.0","2.14"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-09-01T16:12:52.484Z[Etc/UTC]","0.0","3.68"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-09-01T16:12:56.175Z[Etc/UTC]","0.0","1.18"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-09-01T16:12:57.369Z[Etc/UTC]","0.0","1.08"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-09-01T16:12:58.46Z[Etc/UTC]","0.0","1.24"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-09-01T16:12:59.711Z[Etc/UTC]","0.0","1.43"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-09-01T16:13:01.517Z[Etc/UTC]","0.0","1.59"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-09-01T16:13:03.799Z[Etc/UTC]","0.0","1.0"
