"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-11-15T01:36:05.345Z[Etc/UTC]","0.0","2.46"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-11-15T01:36:13.64Z[Etc/UTC]","0.0","4.52"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-11-15T01:36:18.169Z[Etc/UTC]","0.0","1.15"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-11-15T01:36:20.26Z[Etc/UTC]","0.0","1.28"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-11-15T01:36:21.544Z[Etc/UTC]","0.0","1.01"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-11-15T01:36:27.743Z[Etc/UTC]","0.0","7.22"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-11-15T01:36:34.996Z[Etc/UTC]","0.0","1.43"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-11-15T01:36:36.428Z[Etc/UTC]","0.0","1.43"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-11-15T01:36:37.869Z[Etc/UTC]","0.0","1.48"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-11-15T01:36:39.364Z[Etc/UTC]","0.0","1.23"
