"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:13:39.46Z[Etc/UTC]","0.0","2.36"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:13:48.421Z[Etc/UTC]","0.0","6.32"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-12-19T22:13:54.754Z[Etc/UTC]","0.0","1.27"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-12-19T22:13:56.039Z[Etc/UTC]","0.0","1.03"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-12-19T22:13:57.078Z[Etc/UTC]","0.0","1.45"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-12-19T22:13:58.545Z[Etc/UTC]","0.0","1.22"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:14:05.684Z[Etc/UTC]","0.0","7.53"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-12-19T22:14:13.23Z[Etc/UTC]","0.0","1.59"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-12-19T22:14:14.823Z[Etc/UTC]","0.0","1.27"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-12-19T22:14:16.106Z[Etc/UTC]","0.0","1.61"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-12-19T22:14:17.72Z[Etc/UTC]","0.0","1.41"
